Date,Open,High,Low,Close
2013-04-30,135.3,141.96,135.3,135.3
2013-05-03,117.0,117.0,91.01,91.01
2013-05-07,111.25,118.33,106.4,106.4
2013-05-11,112.64,118.78,112.64,113.01
2013-05-15,114.71,117.18,114.16,114.16
2013-05-19,115.5,123.88,115.5,120.5
2013-05-23,122.58,125.75,122.58,125.75
2013-05-27,131.7,134.6,128.99,128.99
2013-05-31,129.18,132.13,127.4,127.98
2013-06-03,129.09,129.09,121.16,121.16
2013-06-07,121.31,121.71,119.0,119.0
2013-06-11,110.09,110.09,99.75,105.99
2013-06-15,108.9,108.9,98.4,98.4
2013-06-19,99.99,106.55,99.99,106.55
2013-06-23,107.9,110.91,107.25,107.25
2013-06-27,108.0,108.0,102.44,103.39
2013-06-30,99.66,99.66,93.33,95.39
2013-07-03,97.5,97.5,89.49,90.8
2013-07-07,78.8,78.8,67.81,68.08
2013-07-11,77.5,85.75,76.39,85.75
2013-07-15,93.8,95.58,88.06,94.0
2013-07-19,97.3,98.98,88.79,88.79
2013-07-23,91.57,91.7,89.28,91.7
2013-07-27,94.58,96.95,94.13,94.13
2013-07-31,94.01,110.34,94.01,110.34
2013-08-03,106.23,106.23,101.61,103.7
2013-08-07,104.86,106.75,104.86,106.75
2013-08-11,101.67,103.77,101.67,103.77
2013-08-15,105.18,111.87,105.18,111.87
2013-08-19,109.87,118.78,109.87,118.78
2013-08-23,120.5,122.5,120.0,120.0
2013-08-27,120.44,125.67,120.44,125.67
2013-08-31,123.02,137.76,123.02,137.76
2013-09-03,138.17,138.17,137.17,137.51
2013-09-07,135.21,135.21,123.73,123.73
2013-09-11,121.77,131.65,121.77,131.65
2013-09-15,134.22,135.05,129.95,129.95
2013-09-19,131.48,132.06,130.23,130.23
2013-09-23,128.57,128.57,126.73,126.73
2013-09-27,126.09,131.84,126.09,131.84
2013-09-30,133.93,140.28,131.65,131.65
2013-10-03,132.55,132.55,123.07,123.07
2013-10-07,128.26,129.57,127.56,128.38
2013-10-11,125.72,130.9,125.72,130.27
2013-10-15,135.35,143.89,135.35,143.89
2013-10-19,143.61,170.51,143.61,170.51
2013-10-23,172.01,206.78,172.01,206.78
2013-10-27,198.8,198.8,172.48,189.83
2013-10-31,198.55,204.39,198.55,203.88
2013-11-03,205.26,212.45,205.26,212.45
2013-11-07,226.28,295.63,226.28,295.63
2013-11-11,332.02,358.0,313.0,340.55
2013-11-15,355.48,424.16,355.48,424.16
2013-11-19,437.41,614.4,437.41,614.4
2013-11-23,565.34,819.31,565.34,819.31
2013-11-27,764.43,914.13,764.43,914.13
2013-11-30,979.08,1127.45,979.08,1127.45
2013-12-03,1033.39,1078.64,974.03,1078.64
2013-12-07,1121.48,1121.48,811.98,811.98
2013-12-11,743.11,927.78,743.11,887.08
2013-12-15,878.17,897.27,854.62,854.62
2013-12-19,789.15,789.15,559.36,677.84
2013-12-23,694.25,694.25,596.12,645.75
2013-12-27,659.94,734.59,659.94,734.27
2013-12-31,738.81,760.52,726.47,755.16
2014-01-03,767.74,825.47,767.74,825.47
2014-01-07,849.14,936.38,826.5,826.5
2014-01-11,838.32,905.72,838.32,905.72
2014-01-15,867.45,867.45,838.05,860.44
2014-01-19,837.98,840.0,812.9,838.17
2014-01-23,869.15,869.57,846.97,846.97
2014-01-27,808.32,891.86,804.39,891.86
2014-01-31,777.0,817.93,777.0,817.93
2014-02-03,832.52,836.41,813.38,813.38
2014-02-07,832.36,832.36,721.32,721.32
2014-02-11,701.61,701.61,672.07,697.76
2014-02-15,655.26,655.26,623.57,644.1
2014-02-19,613.85,645.14,613.85,620.99
2014-02-23,593.89,622.97,571.06,622.97
2014-02-27,572.39,586.28,489.31,586.28
2014-02-28,567.2,585.79,560.11,585.79
2014-03-07,675.0,675.0,617.62,617.62
2014-03-11,610.37,636.17,610.37,624.23
2014-03-15,638.07,639.03,629.67,638.07
2014-03-19,629.55,629.55,610.64,610.64
2014-03-23,592.07,592.07,561.22,567.78
2014-03-27,571.42,584.44,567.64,567.64
2014-03-31,503.66,503.66,457.4,457.4
2014-04-03,478.72,478.72,437.52,447.08
2014-04-07,448.88,464.83,448.88,457.79
2014-04-11,450.46,450.46,360.84,420.06
2014-04-15,420.66,520.12,414.95,520.12
2014-04-19,529.16,529.16,478.23,501.55
2014-04-23,497.32,497.32,484.85,487.53
2014-04-27,494.27,494.27,437.92,437.92
2014-04-30,436.92,445.0,436.92,445.0
2014-05-03,455.09,455.09,434.03,434.03
2014-05-07,433.94,439.3,426.76,439.3
2014-05-11,437.36,452.51,436.28,436.28
2014-05-15,439.19,444.25,437.31,444.25
2014-05-19,445.17,445.85,443.87,443.87
2014-05-23,483.42,524.48,483.42,524.48
2014-05-27,523.11,579.62,523.11,569.48
2014-05-31,571.55,621.15,565.26,620.5
2014-06-03,640.16,667.37,640.16,667.37
2014-06-07,641.18,658.1,641.18,651.71
2014-06-11,649.9,649.9,630.04,630.04
2014-06-15,567.18,594.68,567.18,583.41
2014-06-19,592.52,607.16,592.52,593.39
2014-06-23,590.06,595.04,586.15,586.15
2014-06-27,582.41,598.24,561.47,598.24
2014-06-30,594.87,637.75,594.87,637.75
2014-07-03,643.94,648.11,640.28,640.28
2014-07-07,627.13,631.0,619.5,619.5
2014-07-11,620.05,630.84,615.13,630.84
2014-07-15,633.64,633.64,618.21,618.95
2014-07-19,614.15,627.02,614.15,626.18
2014-07-23,620.51,620.51,617.94,617.94
2014-07-27,599.81,600.1,590.38,590.38
2014-07-31,585.28,585.28,560.79,583.18
2014-08-03,593.87,593.87,585.57,585.57
2014-08-07,586.37,587.2,582.42,587.2
2014-08-11,590.91,590.91,573.41,573.41
2014-08-15,567.4,567.4,492.28,492.28
2014-08-19,521.05,521.05,459.89,484.15
2014-08-23,514.19,515.83,496.57,496.57
2014-08-27,508.11,510.64,500.39,510.45
2014-08-31,506.92,508.1,480.03,480.03
2014-09-03,475.82,475.82,474.69,474.73
2014-09-07,489.55,489.55,480.24,480.6
2014-09-11,471.13,477.11,471.13,476.38
2014-09-15,473.69,476.0,473.03,473.03
2014-09-19,462.59,462.59,393.26,393.26
2014-09-23,408.5,433.75,396.62,433.75
2014-09-27,420.92,420.92,398.01,398.01
2014-09-30,375.99,387.35,373.09,387.35
2014-10-03,380.89,380.89,356.19,356.19
2014-10-07,327.88,331.72,325.11,331.72
2014-10-11,353.39,359.52,353.39,359.52
2014-10-15,374.17,398.29,374.17,392.19
2014-10-19,379.39,389.12,379.39,386.95
2014-10-23,379.77,382.41,356.2,356.2
2014-10-27,354.32,354.32,347.03,348.29
2014-10-31,351.56,351.56,333.15,336.59
2014-11-03,323.98,324.0,323.98,324.0
2014-11-07,328.01,347.82,328.01,341.23
2014-11-11,344.18,366.15,344.18,366.15
2014-11-15,418.58,418.58,377.33,377.33
2014-11-19,387.62,387.62,374.87,376.79
2014-11-23,355.39,366.78,349.39,366.78
2014-11-27,377.74,377.74,365.77,368.45
2014-11-30,376.95,376.95,374.96,376.47
2014-12-03,379.49,381.38,374.1,374.1
2014-12-07,368.23,376.38,368.23,374.45
2014-12-11,361.43,361.43,346.91,346.91
2014-12-15,351.5,351.5,344.62,344.62
2014-12-19,328.53,328.53,309.77,317.54
2014-12-23,328.77,333.97,319.5,333.97
2014-12-27,322.19,327.72,314.57,314.57
2014-12-31,316.49,317.38,310.08,317.38
2015-01-03,313.99,314.45,286.57,286.57
2015-01-07,260.94,295.87,260.94,295.87
2015-01-11,284.45,289.57,267.18,267.18
2015-01-15,268.35,268.35,172.15,210.56
2015-01-19,205.82,214.55,199.49,214.55
2015-01-23,210.51,232.9,210.51,232.9
2015-01-27,248.1,271.29,248.1,259.24
2015-01-31,232.53,232.53,218.02,218.02
2015-02-03,226.27,240.02,226.01,226.01
2015-02-07,225.31,227.21,216.91,227.21
2015-02-11,222.91,222.91,219.1,219.1
2015-02-15,222.04,259.01,222.04,233.0
2015-02-19,235.92,242.46,234.62,240.3
2015-02-23,244.08,244.15,235.55,238.13
2015-02-27,238.73,253.9,236.17,253.9
2015-02-28,253.6,280.62,253.6,280.62
2015-03-07,273.02,275.58,272.34,275.58
2015-03-11,274.58,295.96,274.58,295.96
2015-03-15,293.92,293.92,281.49,285.26
2015-03-19,290.1,290.1,255.61,260.0
2015-03-23,260.91,267.8,259.49,266.03
2015-03-27,245.17,247.56,245.17,247.15
2015-03-31,252.05,252.05,241.91,243.27
2015-04-03,246.78,253.62,246.78,253.62
2015-04-07,253.32,259.71,253.21,253.21
2015-04-11,244.27,244.27,234.53,236.45
2015-04-15,235.74,235.74,218.0,223.02
2015-04-19,228.0,228.0,222.42,222.68
2015-04-23,224.31,235.17,224.31,235.17
2015-04-27,230.99,230.99,218.51,228.57
2015-04-30,225.64,236.22,225.64,236.22
2015-05-03,232.74,239.88,232.74,239.88
2015-05-07,238.97,238.97,229.82,236.85
2015-05-11,243.66,243.66,239.55,241.85
2015-05-15,241.52,241.52,235.48,236.99
2015-05-19,235.98,236.08,231.94,231.94
2015-05-23,234.05,240.94,234.05,239.03
2015-05-27,241.24,241.24,237.23,237.23
2015-05-31,237.49,237.49,229.68,229.68
2015-06-03,223.32,225.74,223.32,225.48
2015-06-07,224.17,225.29,223.62,223.62
2015-06-11,228.7,229.93,228.7,229.93
2015-06-15,230.52,237.2,230.52,237.2
2015-06-19,250.47,250.47,243.0,243.0
2015-06-23,245.48,247.28,243.85,243.85
2015-06-27,240.54,250.62,240.54,250.62
